channel_id,video_id,title
UC7OeNNuAq23-6L6bDOSm8xQ,P2drKvm3hcY,ENHYPEN - Stuck (Tradução/Legendado)
UC7OeNNuAq23-6L6bDOSm8xQ,R5tvwh5NrY8,Stray Kids - FARMING (Tradução) [Clipe Oficial]
UC7OeNNuAq23-6L6bDOSm8xQ,TMEqrTJob4A,MARQUISE - dontneedyouanymore (Tradução) [Clipe Oficial]
UC7OeNNuAq23-6L6bDOSm8xQ,cf0bVQehlS4,EVAN - Death of Me (Tradução) [Clipe Oficial]
UC7OeNNuAq23-6L6bDOSm8xQ,duVvkxAV-C0,Slayyyter - brand new chanel$ (Tradução) [Clipe Oficial]
UC7OeNNuAq23-6L6bDOSm8xQ,e9owJMsaihQ,Stray Kids - I Do (Tradução/Legendado)
UC7OeNNuAq23-6L6bDOSm8xQ,egIe0rwofpI,NEXZ - SAUCIN' (Tradução) [Clipe Oficial]
UC7OeNNuAq23-6L6bDOSm8xQ,hVoThCepYjE,Major Lazer & DJ Snake ft. MØ - Lean On (Tradução) [Clipe Oficial]
UC7OeNNuAq23-6L6bDOSm8xQ,hXymUnBvbrQ,Stray Kids - This & That (Tradução) [Clipe Oficial]
UC7OeNNuAq23-6L6bDOSm8xQ,kP19rSkhXoY,ITZY - Motto (Tradução) [Clipe Oficial]
UC7OeNNuAq23-6L6bDOSm8xQ,mWQ_MhEtvkY,Stray Kids - Way Out (Tradução/Legendado)
UC7OeNNuAq23-6L6bDOSm8xQ,nsIu7VAWAAM,NMIXX - Crescendo (Tradução) [Clipe Oficial]
UC7OeNNuAq23-6L6bDOSm8xQ,pyC64YQiAsc,TXT - Setsuna Hanabi (Tradução/Legendado) [Clipe Oficial]
UC7OeNNuAq23-6L6bDOSm8xQ,q-fX7VFhToU,#straykids #felix #tradução #legendado #kpop #shorts
UC7OeNNuAq23-6L6bDOSm8xQ,y3EUr3sOV18,WONHO - Don’t Wake Me Up! [Tradução] (Clipe Oficial)
UCOCfm7WIsubQvwGjRfpXm7g,5HzQnXdqtcg,🌽🤠 ARRUME-SE COMIGO PARA A FESTA JUNINA DA ESCOLA DO MEU FILHO | Comprei Bota e Look Novo! ✨
UCOCfm7WIsubQvwGjRfpXm7g,7geUQVlmPPA,festa junina 😍✨
UCOCfm7WIsubQvwGjRfpXm7g,B-8HK52m_6Q,Pesquise UV5NT para achar as peças! CUPOM:samarasantosoficial773   #SHEINsaveinstyle #sheintrends
UCOCfm7WIsubQvwGjRfpXm7g,EcdHISbaVbc,Arrume-se comigo para festa de São Pedro ✨
UCOCfm7WIsubQvwGjRfpXm7g,OC3rUkm1aZc,MARIDO FOI PRA COZINHA! 😱 Fez peixe no coco 🥥 + rotina de vários dias + comprinhas
UCOCfm7WIsubQvwGjRfpXm7g,Vm6jdrKDVE0,VLOG DO NOSSO FINAL DE SEMANA SEM FILTROS - ROTINA REAL + SAIDINHA + REFEIÇÕES + TREINO DE HOJE 😮‍💨😱
UCOCfm7WIsubQvwGjRfpXm7g,VpGSR6AE5lc,MEU TREINO DE QUADRÍCEPS
UCOCfm7WIsubQvwGjRfpXm7g,_zKvjxXr7XM,VLOG: Compras de reposição para o mês | Meu treino - Lavei a cozinha inteira / Vida real
UCOCfm7WIsubQvwGjRfpXm7g,fA3cg_nZ69s,ABRINDO MIL REAIS EM COMPRAS NA SHEIN
UCOCfm7WIsubQvwGjRfpXm7g,k5pbAHlhgyM,COMPREI LOOK NOVO 🛍️ E FIZEMOS UMA PEQUENA VIAGEM EM FAMÍLIA 🥰❤️ | VLOG
UCu63d5lTTJIKa7mNeJbRNIA,PE0wOyKPBqA,"Bike trekking, pode isso???"
UCvQzawL23D-57Qbl6FK_Ogg,BstaMFlSLEM,fiz um beat usando um reels aleatório... 🫪  #producer  #beatmaker
UCvQzawL23D-57Qbl6FK_Ogg,G34ezhZ_fUc,você precisa ver esses novos sons do FL Studio 26... #flstudio #producaomusical #shorts
UCvQzawL23D-57Qbl6FK_Ogg,IfXxEmf7ewk,os REELS são uma mina de ouro para produtores...
UCvQzawL23D-57Qbl6FK_Ogg,PvaIQ7uwmxI,fiz uma MÚSICA pra COPA DO MUNDO... NEYMAR aprovou? 😳
UCvQzawL23D-57Qbl6FK_Ogg,XIIFBQG98qo,SARTØR fala sobre como evoluir na GUITARRA na era da informação infinita durante LIVE
UCvQzawL23D-57Qbl6FK_Ogg,YpVf9ePAxgA,se PABLLO VITTAR fosse METAL...
UCvQzawL23D-57Qbl6FK_Ogg,pLkbmp7IiRM,"minha vocal chain, REVELADA! vocais PRO em SEGUNDOS! 👀  #musicproducer #ableton #vocalchain"
UCvQzawL23D-57Qbl6FK_Ogg,vHFWQh3aP24,tirar um som de voz F#D4 ficou FÁCIL agora! minha VOCAL CHAIN!
UCvQzawL23D-57Qbl6FK_Ogg,vy8PCJDG9NI,o FL STUDIO 26 acabou de SUBIR de nível... 👀
UCvQzawL23D-57Qbl6FK_Ogg,zAg3Oy-rqYs,FLIPANDO a sample de vocês na LIVE 👀 #flstudio  #beatmaker
